"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&queryText%3Dheart+rate+age",2015/06/27 01:56:58
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Analysis of Heart Rate Variability and Breath To Breath Interval in frequency domain","Sengthipphany, T.; Tretriluxana, S.; Chitsakul, K.","Biomed. Meas. & Comput. Lab., King Mongkut's Inst. of Technol. Ladkrabang, Bangkok, Thailand","Biomedical Engineering International Conference (BMEiCON), 2014 7th","20150122","2014","","","1","4","Respiratory is known to be a confounding factor of Heart Rate Variability (HRV) analysis. This article introduces a Breath-to-Breath Interval (BBI) spectral computation to investigate the insight between respiration and the HRV. Six males and five female volunteers (age 20-25 years) underwent the Electrocardiogram (ECG) and respiratory chest movement recordings for 5 minutes while sitting in resting condition. Auto Regressive Moving Average (ARMA) model was employed to the R-wave to R-wave interval (RRI) and BBI signals for the spectral analysis. The results from all participants demonstrate that the peak amplitude in high frequency (0.15-0.40 Hz) band are higher than the ones in low frequency (0.04-0.15 Hz) band in both RRI and BBI frequency plots. It suggests that respiratory plays a major role in HRV oscillation. Our further study is to develop a mathematical model to explain this finding.","","","","10.1109/BMEiCON.2014.7017413","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7017413","Breath to breath interval;Heart rate variability (HRV);frequency domain","Computational modeling;Electrocardiography;Frequency-domain analysis;Heart rate variability;Rail to rail inputs;Resonant frequency","electrocardiography;medical signal processing;oscillations;pneumodynamics;spectral analysis","ARMA model;BBI frequency plot;BBI signal;BBI spectral computation;ECG recording;HRV oscillation;R-wave to R-wave interval;RRI frequency plot;RRI signal;autoregressive moving average;breath to breath interval analysis;electrocardiogram;frequency 0.04 Hz to 0.15 Hz;frequency 0.15 Hz to 0.40 Hz;frequency band;frequency domain;heart rate variability analysis;mathematical model;peak amplitude;respiration;respiratory chest movement recording;resting condition;spectral analysis;time 5 min","","0","","15","","","26-28 Nov. 2014","","IEEE","IEEE Conference Publications"
"Nonlinear features of neonatal heart rate dynamics","Czippelova, B.; Chladekova, L.; Turianikova, Z.; Tonhajzerova, I.; Javorka, K.; Uhrikova, Z.; Zibolen, M.; Javorka, M.","Dept. of Physiol., Comenius Univ., Martin, Slovakia","Computing in Cardiology Conference (CinC), 2014","20150219","2014","","","433","436","The aim of this study was to investigate the short-term heart rate variability (HRV) as an index of the cardiac autonomic control development in healthy full-term neonates using various new complexity and irreversibility measures. HRV in 20 healthy full-term neonates was compared to HRV recorded in healthy young adults. Besides traditional time and frequency domain measures, we assessed HRV complexity measures including normalized complexity index (NCf), normalized unpredictability index (NUPf), pattern classification (OV%, 1 V%, 2LV%, 2UV%) and multiscale irreversibility indices (P%, G%, E). HRV magnitude was significantly decreased in the neonatal group compared to the adults. HR V complexity measures, i.e. indices NCf, NUPf and pattern indices 1 V%, 2LV%, were also significantly reduced. Pattern classification parameter OV% and Porta's irreversibility index P% showed significant increase in newborns compared to adults suggesting the shift in the sympathovagal balance of neonates towards sympathetic predominance. Moreover, surrogate data analysis of irreversibility indices revealed asymmetrical nature of the HRV series present already in the neonatal age suggesting the nonlinear nature of HR V dynamic even very shortly after birth.","2325-8861","978-1-4799-4346-3","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7043072","","Abstracts;Complexity theory;Heart rate variability;Indexes;Oscillators;Pediatrics;Position measurement","cardiovascular system;medical signal processing;neurophysiology;paediatrics;pattern classification","HRV complexity measurement;HRV recording;NUPf indices;Pattern classification parameter;Porta's irreversibility index;cardiac autonomic control development;complexity irreversibility measurment;data analysis;frequency domain measurment;healthy full-term neonates;multiscale irreversibility indices;neonatal age;neonatal heart rate dynamics;normalized complexity index;normalized unpredictability index;pattern classification;short-term heart rate variability;sympathetic predominance;sympathovagal balance","","0","","","","","7-10 Sept. 2014","","IEEE","IEEE Conference Publications"
"Incidence of complete heart block and cost-effectiveness of pacemaker therapy in India","Mehra, R.; Koehler, J.","Medtronic Inc., Mounds View, MN","Appropriate Healthcare Technologies for Developing Countries, 2008. AHT 2008. 5th IET Seminar on","20131024","2008","","","1","6","Complete Heart Block (CHB) is a cardiac disease associated with extremely low heart rates and if untreated, results in average longevity of only 2.5 years. Extrapolating the demographics of CHB in the United States to the global population, we estimated the global annual incidence of the disease in 2005 to be 430,000. European baseline data resulted in similar estimates. More than 80% of these patients live in developing countries and most do not receive treatment. In India and China alone, there were 140,000 new cases (50,000 in India) and less than 20% in each country received treatment. The only effective treatment for CHB is implantation of a cardiac pacemaker. The key reasons for low pacemaker implant rates are lack of reimbursement, poor awareness and inadequate diagnosis of CHB. An economic model was developed to evaluate incremental cost-effectiveness of pacing vs no-pacing for CHB and analyzed for India. This economic model can be used to compute cost-effectiveness for any geography. The survival data from Barlow et al (2000), which reviewed the results from 9 studies in 704 patients, was used for the model. The average total mortality in CHB patient without pacemakers was 50% at 2.5 years and 68% at 5 years. Assuming Rs.72,000 ($1750) cost for a single-chamber pacemaker and it's implant in India, 7 year device longevity and mean age of 55 years at implant, the cost effectiveness of pacing therapy was Rs.32,000 ($773)/life year saved. Sensitivity analysis for various ages at implant did not significantly alter cost- effectiveness. This cost-effectiveness figure is well within the WHO recommendation of a cost-effective therapy as one less than 3*GNI/capita (Rs.89, 000 or $2160/life year saved). Changes in reimbursement policy for treatment of CHB, leading to greater adoption of pacing, can significantly reduce the disease burden attributable to this lethal cardiac disease.","","978-0-86341-916-4","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4577641","Heart-Block;Incidence;India;Pacemakers;cost-effectiveness","","cardiology;costing;diseases;economics;pacemakers;patient treatment","India;cardiac disease;cardiac pacemaker implantation;complete heart block;cost effectiveness;economic model;pacemaker therapy;reimbursement policy;sensitivity analysis","","0","","","","","21-22 May 2008","","IET","IET Conference Publications"
"A Hybrid Emotion Recognition on Android Smart Phones","Weishan Zhang; Xin Meng; Qinghua Lu; Yuan Rao; Jiehan Zhou","Dept. of Software Eng., China Univ. of Pet., Qingdao, China","Green Computing and Communications (GreenCom), 2013 IEEE and Internet of Things (iThings/CPSCom), IEEE International Conference on and IEEE Cyber, Physical and Social Computing","20131212","2013","","","1313","1318","Awareness of emotion status of people is fairly important for aged ones, the ones with sub-health status, and various patients in order to keep them in good mood. The emotion recognition at run time is intrinsically challenging due to its complexity nature. On the one hand, the awareness of human emotion should be achieved as non-intrusive as possible. On the other hand, the android smart phones on the market are increasingly popular which are equipped with various sensors that can be used to achieve the awareness of emotion status. In this paper, we propose an approach based on the heart beat rate and contents of user's talk, which are obtained from built-in camera and microphone on smart phones. We first classify anger, joy, normal, and sadness based on heart rates, then the emotion recognition is further improved by emotional key words in a talk. We have evaluated this approach in terms of recognition accuracy and power consumption found that the accuracy can achieve 84.7%.","","","","10.1109/GreenCom-iThings-CPSCom.2013.228","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6682241","emotion recognition;physiological signals;speech recognition","Accuracy;Biomedical monitoring;Cameras;Emotion recognition;Heart rate;Smart phones;Speech recognition","electrocardiography;emotion recognition;smart phones","Android smart phones;emotion status awareness;emotional key words;heart beat rate;human emotion awareness;hybrid emotion recognition;power consumption;recognition accuracy;user talk content","","0","","","","","20-23 Aug. 2013","","IEEE","IEEE Conference Publications"
"Long-range dependence in heart rate variability data: ARFIMA modelling vs detrended fluctuation analysis","Leite, A.; Rocha, A.P.; Silva, M.E.; Gouveia, S.; Carvalho, J.; Costa, O.","Dept. de Matemetica Aplic., Univ. do Porto, Porto","Computers in Cardiology, 2007","20090109","2007","","","21","24","Heart rate variability (HRV) data display non-stationary characteristics and exhibit long-range correlation (memory). Detrended fluctuation analysis (DFA) has become a widely-used technique for long memory estimation in non-stationary HRV data. Recently, we have proposed an alternative approach based on fractional integrated autoregressive moving average (ARFIMA) models. ARFIMA models, combined with selective adaptive segmentation may be used to capture and remove long-range correlation, leading to an improved description and interpretation of the components in 24 hour HRV recordings. In this work estimation of long memory by DFA and selective adaptive ARFIMA modelling is carried out in 24 hour HRV recordings of 17 healthy subjects of two age groups. The two methods give similar information on long-range global characteristics. However, ARFIMA modelling is advantageous, allowing the description of long-range correlation in reduced length segments.","0276-6547","978-1-4244-2533-4","978-1-4244-2534-1","10.1109/CIC.2007.4745411","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4745411","","Aging;Arterial blood pressure;Autoregressive processes;Cardiology;Displays;Doped fiber amplifiers;Fluctuations;Heart rate;Heart rate variability;Monitoring","adaptive signal processing;autoregressive moving average processes;bioelectric phenomena;cardiovascular system;correlation methods;electrocardiography;fluctuations;medical signal processing;physiological models","ARFIMA modelling;detrended fluctuation analysis;fractional integrated autoregressive moving average models;heart rate variability;long-range global correlation;nonstationary HRV data;reduced length segments;selective adaptive segmentation;time 24 h","","1","","10","","","Sept. 30 2007-Oct. 3 2007","","IEEE","IEEE Conference Publications"
"New analysis techniques for blood pressure biomedical signals","Essa, H.J.; Jaafar, I.","Coll. of Pharmacy, AL-Mustansiriyah Univ., Baghdad, Iraq","Advanced Research and Technology in Industry Applications (WARTIA), 2014 IEEE Workshop on","20141206","2014","","","1","6","Finapres Medical Systems design and manufacture a range of non-invasive cardiovascular monitoring devices, which are widely used in the assessment and diagnosis of a variety of medical conditions. These systems have the capability of providing ASCII output of the blood pressure and heart rate trace. This ASCII output allows the reproduction and analysis of the blood pressure traces in third party software. In this work, was used to investigate the potential of different signal processing and expert systems approaches to enhance the diagnostic capability of the system. Initially, attempts were made to improve the readability of the signal by the application of signal filtering algorithms. New techniques for automatically extracting information from the blood pressure traces were also developed. These techniques were applied to the blood pressure traces of a number of patients, with a variety of medical conditions, recorded during head up tilt testing sessions at the Clinical Age Assessment Unit at Yarmouk Hospital in Baghdad. Finally, a statistical analysis was performed on the data extracted in an attempt to better understand some of the underlying mechanisms of orthostatic intolerance.","","","","10.1109/WARTIA.2014.6976177","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6976177","Medical systems;extracting techniques;monitoring devices;signal filtering","Cascading style sheets;Filtering;Filtering algorithms;Heart;Medical diagnostic imaging;Standards;Testing","blood pressure measurement;cardiovascular system;filtering theory;medical signal processing;patient monitoring;statistical analysis","ASCII output;Yarmouk Hospital;biomedical signal processing;blood pressure;clinical age assessment unit;data extraction;finapres medical systems;heart rate trace;medical conditions;noninvasive cardiovascular monitoring devices;orthostatic intolerance;patient diagnosis;signal filtering algorithms;statistical analysis","","0","","","","","29-30 Sept. 2014","","IEEE","IEEE Conference Publications"
"Comparative Study of Non-Invasive Blood Pressure Measurement Methods in Elderly People","Fabian, V.; Janouch, M.; Novakova, L.; Stepankova, O.","Czech Tech. Univ. in Prague, Prague","Engineering in Medicine and Biology Society, 2007. EMBS 2007. 29th Annual International Conference of the IEEE","20071022","2007","","","612","615","Results obtained by the modern automatic blood pressure (BP) monitors using oscillometric method are highly dependent on conditions of cardiovascular system of the monitored person. Especially, with people who suffer from cardiovascular diseases (e.g. aterosclerosis) the resulting values differ significantly from those measured by the traditional auscultation method. A reasonable solution for improvement of quality of oscillometric method could be a sophisticated intelligent BP measuring system which applies for evaluation of BP more complex approach taking into account the monitored person's condition of patient cardiovascular system (CS) i.e. the hemodynamic parameters of CS (e.g. heart rate, stroke volume, total peripheral resistance, systemic arterial compliance, pulse wave velocity, augmentnation index etc.). Such a system has to be based on appropriate models of the considered diseases which are validated on real life data. For that purpose, we have started to build a database of real-life oscillometric pulsations waveforms (OPW) complemented by the values of "";auscultation""; blood pressure measurements and additional relevant information about the considered patients (age, sex, etc.) as well as their diagnosis. This data collection requires a special HW device for measurement of the OPW - we have developed such a device and it has been validated in Czech Certified Metrological Centre. Our OPW monitor is connected through the T-pieces and tubes to the cuff, mercury sphygmomanometer and automatic "";oscillometric""; blood pressure monitor. This paper reviews our preliminary results based on analysis of the collected data consisting of more than one thousand OPW corresponing mostly to people above 60 years - auscultation values are measured by educated staff (nurses or doctors).","1557-170X","978-1-4244-0787-3","","10.1109/IEMBS.2007.4352364","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4352364","","Biomedical monitoring;Blood pressure;Cardiovascular diseases;Cardiovascular system;Computerized monitoring;Condition monitoring;Intelligent systems;Pressure measurement;Pulse measurements;Senior citizens","blood pressure measurement;cardiovascular system;diseases;oscillators;patient diagnosis;patient monitoring;waveform analysis","HW device;age;aterosclerosis;augmentnation index;auscultation method;cardiovascular diseases;elderly people;heart rate;hemodynamic parameters;mercury sphygmomanometer;modern automatic blood pressure monitors;noninvasive blood pressure measurement;patient diagnosis;pulse wave velocity;real-life oscillometric pulsations waveforms;sex;stroke volume;systemic arterial compliance;total peripheral resistance","Aged;Aged, 80 and over;Blood Pressure Monitoring, Ambulatory;Blood Pressure Monitors;Cardiovascular Diseases;Databases, Factual;Female;Hemodynamics;Humans;Male;Middle Aged","3","","9","","","22-26 Aug. 2007","","IEEE","IEEE Conference Publications"
"Ambulatory pain evaluation based on heart rate variability analysis: Application to physical therapy","De jonckheere, J.; Dassonneville, A.; Flocteil, M.; Delecroix, M.; Seoane, G.; Jeanne, M.; Logier, R.","Maison Regionale de la Rech. Clinique, Univ. Hosp. of Lille, Lille, France","Engineering in Medicine and Biology Society (EMBC), 2014 36th Annual International Conference of the IEEE","20141106","2014","","","5502","5505","Pain assessment is critical for efficient pain management. Clinicians usually use self-report or behavioral pain scales. In practice, the choice of the most adaptive scale depends on several parameters like the clinical context, the patient consciousness or its age, but all evaluation scales are known to be more or less subjective and to present high inter and intra individual variability. Recently, several innovative medical devices have been developed in order to provide to the clinicians a physiological measure of pain. These technologies are mainly used for the continuous monitoring of patients in intensive care or during surgery. As an example, we have developed a heart rate variability analysis based technology for analgesia/nociception monitoring in patients undergoing surgery under general anesthesia. Even if this technology is now used in other clinical settings, the resulting device presents some mobility constraints. In this paper, we describe the adaptation of this technology to the ambulatory pain evaluation and its clinical validation in the particular context of physical therapy. In the frame of this validation, we showed the device usability and efficiency for pain evaluation during physical therapy sessions.","1557-170X","","","10.1109/EMBC.2014.6944872","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6944872","","Heart rate variability;Indexes;Monitoring;Pain;Pediatrics;Surgery","bioelectric potentials;patient treatment;touch (physiological)","ambulatory pain evaluation;analgesia monitoring;continuous patient monitoring;heart rate variability analysis;nociception monitoring;patient consciousness;physical therapy;surgery","","0","","","","","26-30 Aug. 2014","","IEEE","IEEE Conference Publications"
"Evaluation of the autonomic nervous system for fall detection","Nocua, R.; Noury, N.; Gehin, C.; Dittmar, A.; McAdams, E.","Lab. TIMC-IMAG, Team AFIRM, La Tronche, France","Engineering in Medicine and Biology Society, 2009. EMBC 2009. Annual International Conference of the IEEE","20091113","2009","","","3225","3228","Studies show that the proportion of elderly will reach 30% of the total population by 2050 in developed countries, such as France. The elderly live generally alone, thus many health problems related to age are under reported. Falling is one of these problems and several devices have been developed recently, based on accelerometers, in order to detect it and alert carers. In order to improve the detection success of these devices, we propose quantifying autonomic nervous system activity (ANS) using a wearable ambulatory device developed for this purpose. We studied the A.N.S's response on 7 adult subjects during simulated falls and standing-lying transitions. We implemented a classification method using the Support Vector Machine in order to classify these two situations using measured heart rate variability and electrodermal response. Good results (sensibility = 3D70.37%, specificity = 3D80%, positive predictor = 3D73.8%) were obtained using a Polynomial kernel (p = 3D 5) for the support vector machine implementation.","1557-170X","978-1-4244-3296-7","978-1-4244-3296-7","10.1109/IEMBS.2009.5333165","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5333165","Autonomic Nervous System(ANS);fall detection;support vector machine;wearable device","","accelerometers;biomechanics;biomedical measurement;geriatrics;medical signal processing;pattern classification;support vector machines","accelerometers;autonomic nervous system activity quantification;classification method;fall detection;polynomial kernel;support vector machine;wearable ambulatory device","Acceleration;Accidental Falls;Aged;Algorithms;Artificial Intelligence;Autonomic Nervous System;Biomechanics;Computer Communication Networks;Computer Simulation;Equipment Design;France;Heart Rate;Humans;Monitoring, Ambulatory;Signal Processing, Computer-Assisted;Skin;Telemedicine","1","","13","","","3-6 Sept. 2009","","IEEE","IEEE Conference Publications"
"1/f-Modelling of blood pressure and heart rate spectra: Relations to ageing","Castiglioni, P.; Frattola, A.; Parati, G.; Di Rienzo, M.","LaRC-Centro di Bioingegneria, Fnd. Pro Juventute, Milano (I)","Engineering in Medicine and Biology Society, 1992 14th Annual International Conference of the IEEE","20110502","1992","2","","465","466","In this study a validation of the hypothesis that blood pressure (BP) and heart rate (HR) spectra are related to the frequency f according to the K/f<sup>α</sup> relation (briefly 1/f) was provided from the analysis of 24-h BP recordings. Frequency bands where the 1/f modelling correctly apply have been identified. Then the 1/f-models and the total power σ<sup>2</sup> were computed in young and old subjects to quantify the effect of ageing on the BP and HR spectra. Significant differences between the groups were found indicating that physiological changes related to the age not only influence the overall variability but also the 1/f components of the BP and HR spectra.","","0-7803-0785-2","0-7803-0816-6","10.1109/IEMBS.1992.5761062","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5761062","","Aging;Blood;Computational modeling;Heart rate;Smoothing methods","","","","4","","3","","","Oct. 29 1992-Nov. 1 1992","","IEEE","IEEE Conference Publications"
"Cardiovascular regulation in different sleep stages in the obstructive sleep apnea syndrome","Kraemer, J.F.; Gapelyuk, A.; Riedl, M.; Suhrbier, A.; Bretthauer, G.; Malberg, H.; Penzel, T.; Kurths, J.; Wessel, N.","Dept. of Phys., Humboldt-Univ. zu Berlin, Berlin, Germany","Computing in Cardiology, 2011","20120309","2011","","","349","352","In order to show the value of the analysis of heart rate variability (HRV), blood pressure variability (BPV) and baroreflex sensitivity (BRS) for the study of sleep disorders we consider 38 subjects, 18 of which are normotensive (NT) and 10 hypertensive (HT) patients suffering from obstructive sleep apnea syndrome (OSAS), the rest being controls. To detect differences in cardiovascular regulation between the different sleep stages and these age and sex matched groups, linear and nonlinear parameters are used. The therapeutic effect of continuous positive airway pressure (CPAP) therapy is investigated by comparing an initial diagnostic measurement with a follow-up after three month of therapy.","0276-6547","978-1-4577-0612-7","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6164574","","Blood pressure;Frequency domain analysis;Heart rate variability;Physics;Sleep apnea","blood;cardiovascular system;diseases;medical disorders;patient treatment;sensitivity;sleep","age matched groups;baroreflex sensitivity;blood pressure variability;cardiovascular regulation;continuous positive airway pressure theraphy;diagnostic measurement;heart rate variability;hypertensive patients;normotensive patients;obstructive sleep apnea syndrome;sex matched groups;sleep disorders;therapeutic effect","","0","","16","","","18-21 Sept. 2011","","IEEE","IEEE Conference Publications"
"Fuzzification of the Analysis of Heart Rate Variability Using ECG in Time, Frequency and Statistical Domains","Sadiq, I.; Khan, S.A.","Coll. of Electr. & Mech. Eng., Nat. Univ. of Sci. & Technol., Rawalpindi, Pakistan","Computer Engineering and Applications (ICCEA), 2010 Second International Conference on","20100412","2010","1","","481","485","The paper deals with the analysis of heart rate variability in three domains, the time domain, frequency domain and the statistical domain. Different parameters are used in each of the domains and they are given different weights based on their accuracy of detecting arrhythmias. The series of RR intervals of the ECG is used for each of the analysis techniques. The time domain parameters were the standard deviation, average standard deviation of defined segments of the RR intervals, the number of consecutive beats that differ by more than a present value and the RMS value of the standard deviation. The frequency domain analysis included four power spectrums including the FFT, Lomb Periodogram, Burg spectrum and the Yule spectrum. The statistical domain parameters included calculating the Sample entropy, Information Based Similarity Index, Modified Karhunen Loeve Transform Coefficients and viewing Poincare plots. Some of the methods are better analyzing tools as compared to others therefore they are given more weight-age in determining the nature of an RR-interval series. Based on the different weights assigned to the different methods, depending on their credibility, a score is calculated for each of the series of RR-intervals. RR-intervals that get high scores around a pre defined value are considered normal according to the Fuzzification laws.","","978-1-4244-6079-3","978-1-4244-6080-9","10.1109/ICCEA.2010.99","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5445784","","Algorithm design and analysis;Application software;Computer applications;Educational institutions;Electrocardiography;Frequency domain analysis;Fuzzy logic;Heart rate variability;Signal analysis;Time domain analysis","Karhunen-Loeve transforms;electrocardiography;fast Fourier transforms;fuzzy logic;medical signal processing;statistical analysis","Burg spectrum;ECG;FFT;Fuzzification laws;Lomb periodogram;Poincare plots;RR intervals;RR-interval series;Yule spectrum;arrhythmias detection;average standard deviation RMS value;frequency domain analysis;heart rate variability analysis;information based similarity index;modified Karhunen loeve transform coefficients;power spectrum;statistical domain parameters;time domain analysis","","0","","12","","","19-21 March 2010","","IEEE","IEEE Conference Publications"
"Computational modeling of human fetal normal sinus rhythm and arrhythmia","Benson, A.P.; Bleakley, A.; Hodgson, S.; Holden, A.V.; Pelech, N.; Palkhi, E.; Pervolaraki, E.; Whitfield, C.","Sch. of Biomed. Sci., Univ. of Leeds, Leeds, UK","Computing in Cardiology Conference (CinC), 2013","20140116","2013","","","37","40","Non-invasive measures of the fetal ECG provide quantitative information on pacemaking rate, propagation times and velocities during normal sinus rhythm. One dimensional partial differential equation models of propagation that reproduce fetal normal sinus rhythm in hearts from 16-40 weeks gestational age were constructed Lengths were obtained from magnetic resonance imaging data, intercellular coupling informed by ECG timings, and cell excitation described by modified models for adult human cardiac cells. Spatially uniform progressive reduction of the L-type calcium conductance slowed the rate, and led to atrioventricular conduction blocks. Self terminating and persistent re-entry with a period of 240 - 300ms could be produced within a 1-D ring ventricular tissue model. The preliminary 1-D family of models quantitatively reproduces the observed timings of fECG intervals from 16-40 WGA, and predicts the characteristics of development of fetal A V block, and self terminating ventricular tachycardia.","2325-8861","978-1-4799-0884-4","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6712405","","Abstracts;Computational modeling;Electric potential;Magnetic resonance imaging;Numerical models;Rhythm;Storage area networks","bioelectric phenomena;electrocardiography;medical disorders;obstetrics;partial differential equations;physiological models","1D partial differential equation;1D ring ventricular tissue model;ECG timing;L-type calcium conductance;adult human cardiac cell modified models;age 0.307 yr to 0.767 yr;atrioventricular conduction blocks;cell excitation;computational modeling;fetal AV block;fetal ECG noninvasive measures;human fetal arrhythmia;human fetal normal sinus rhythm;intercellular coupling;magnetic resonance imaging data;pacemaking rate;persistent reentry;propagation models;propagation time;propagation velocity;self terminating reentry;self terminating ventricular tachycardia;spatially uniform progressive reduction;time 240 ms to 300 ms","","0","","12","","","22-25 Sept. 2013","","IEEE","IEEE Conference Publications"
"Non-linear coupling among cardiovascular variability signals in neuromediate syncope","Censi, F.; Calcagnini, G.; Strano, S.; Bartolini, P.; Barbaro, V.","Biomed. Eng. Lab., Ist. Superiore di Sanita, Rome, Italy","Engineering in Medicine and Biology Society, 2001. Proceedings of the 23rd Annual International Conference of the IEEE","20021107","2001","1","","559","562 vol.1","Aim of this study is to evaluate the degree of coupling among the cardiovascular variability series and the respiration in subjects susceptible to neurally mediated syncope, in comparison to normal subjects. 21 patients susceptible to syncope and 10 sex and age matched control subjects have been enrolled in the study. ECG, respiration activity, and arterial blood pressure were simultaneously recorded at rest (controlled and free breathing) and during 70° head-up TILT test (free breathing). The degree of non-linear coupling among heart rate. variability (HRV), blood pressure variability (BPV) and respiration has been quantified by means of a multivariate embedding-based approach. 11 patients developed syncope during the TILT test. The non-linear coupling among the cardiovascular variables and respiration turned out to be stronger during controlled breathing than during free breathing, both for TILT-positive and TILT-negative group. During late TILT phase, in the TILT-positive group, the non-linear coupling showed a significant increase. If the proposed non-linear coupling indexes can be considered expression of the coupling mechanisms involved in the vagal regulation of the cardiovascular system, an increase of the vagal tone accompanied by a decrease of the sympathetic activity seem to occur before a vasovagal event.","1094-687X","0-7803-7211-5","","10.1109/IEMBS.2001.1018994","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1018994","","Arterial blood pressure;Biomedical monitoring;Blood pressure variability;Cardiology;Electrocardiography;Heart rate;Heart rate variability;Pressure control;Resonant frequency;Testing","blood pressure measurement;electrocardiography;medical signal processing;neurophysiology","ECG recordings;arterial blood pressure;cardiorespiratory coordination;cardiovascular system;cardiovascular variables;controlled breathing;free breathing;multivariate embedding-based approach;neurally mediated syncope;respiration activity;sex/age matched control subjects;vagal regulation;vagal tone increase","","0","","","","","2001","","IEEE","IEEE Conference Publications"
"Do the ECG axis and intervals depend on the heart rate and on the body habitus?","Aba&#x0308;cherli, R.; Kobza, R.; Christov, I.; Frey, F.; Erne, P.","Biomed Res. & Signal Process., Schiller AG, Baar, Switzerland","Computing in Cardiology, 2011","20120309","2011","","","825","828","It is known that the QT interval of the electrocardiogram (ECG) is heart-rate-dependent. Due to physiological aspects, the same can be expected for the PR and the QRS interval. Moreover, it can be hypothesized that the electrical axes are influenced by the body habitus. We wanted to know if these effects can be found in a well defined study group such as young males of a certain age category or whether there is another important correlation.","0276-6547","978-1-4577-0612-7","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6164693","","Correlation;Electrocardiography;Focusing;Heart rate;Indexes;Software measurement","bioelectric potentials;electrocardiography;physiological models","ECG;QT interval;body habitus;electrical axes;electrocardiogram;heart rate;physiological aspects","","0","","9","","","18-21 Sept. 2011","","IEEE","IEEE Conference Publications"
"Information theory for atypical sequences","Host-Madsen, A.; Sabeti, E.; Walton, C.","Dept. of Electr. Eng., Univ. of Hawaii, Honolulu, HI, USA","Information Theory Workshop (ITW), 2013 IEEE","20131223","2013","","","1","5","One characteristic of the information age is the exponential growth of information, and the ready availability of this information through networks, including the internet - “Big Data.” The question is what to do with this enormous amount of information. One possibility is to characterize it through statistics - think averages. The perspective in this paper is the opposite, namely that most of the value in the information is in the parts that deviate from the average, that are unusual, atypical. Think of art: the valuable paintings or writings are those that deviate from the norms, that are atypical. The same could be true for venture development and scientific research. The paper first discusses what exactly should be understood by “atypical.” This is by no means straightforward. It has to be a well defined theoretical concept corresponding to some intuitive idea of atypicality, which when applied gives useful results. This is followed by a simple example of iid binary sequences. This example is simple enough that complete algorithms can be developed and analyzed, which give insights into atypicality. We finally develop a more general algorithm based on the Context Tree Weighing algorithm and apply that to heart rate variability.","","978-1-4799-1321-3","","10.1109/ITW.2013.6691276","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6691276","","Approximation methods;Context;Entropy;Genetics;Heart rate variability;Source coding","Big Data;binary sequences;statistical analysis;trees (mathematics)","Big data;atypical sequences;context tree weighing algorithm;heart rate variability;iid binary sequences;information theory;internet;scientific research;valuable paintings;venture development","","0","","14","","","9-13 Sept. 2013","","IEEE","IEEE Conference Publications"
